voiceId,cueKey,path,sha256,durationMs,codec,container,sampleRateHz,channels,bitRate,lufsI,loudnessRange,truePeakDbfs,leadingSilenceMs,trailingSilenceMs,decodeStatus,clippingFlag,baselineDurationPercentile,pairedDurationDeltaMs,outlierFlags,notes
"marcus","times-up-v21","assets/audio/voice/marcus/times-up-v21.mp3","fb72dd65880bc5e1f0bf052abf7b1fb08005c50c4c9954b6ba9aaf2ba6fcf423","743","mp3","mp3","44100","1","128000","-18.3","0.0","-3.2","59","241","ok","false","14.7","0","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","tracking-loss-v21","assets/audio/voice/clara/tracking-loss-v21.mp3","e19c3f74db52f97bcea439482dc9b9b78e530ed05218550406de17fa44391585","2415","mp3","mp3","44100","1","128000","-24.4","0.0","-7.3","64","202","ok","false","46.7","232","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","tracking-loss-v21","assets/audio/voice/marcus/tracking-loss-v21.mp3","6e1697c29f8d9a1fbb030943447dc54b663472b88a41ca606f7a2b37c625d729","2183","mp3","mp3","44100","1","128000","-16.6","0.0","-1.2","55","223","ok","false","44","-232","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","tracking-recovered-v21","assets/audio/voice/clara/tracking-recovered-v21.mp3","432ed99cf776b785eba8a32b574fc2bb8b63f611e03fa37e6388283bf0d76262","2276","mp3","mp3","44100","1","128000","-19.4","0.0","-1.0","","242","ok","false","44","326","none","New untracked MPV2/V2.1 asset; semantic content requires listening."
"marcus","tracking-recovered-v21","assets/audio/voice/marcus/tracking-recovered-v21.mp3","e83aefd7c25ab4d755272312730d288b81c8d15df4480ba2de8a4f831a2ec6e9","1950","mp3","mp3","44100","1","128000","-15.6","0.0","-0.8","52","204","ok","false","40.7","-326","loudness_outlier","New untracked MPV2/V2.1 asset; semantic content requires listening."
"clara","you-completed","assets/audio/voice/clara/you-completed.mp3","cc9147c53280eabb359b342d06ea11e217edc8bf61ad2f233bc7dd07a02ff8dd","929","mp3","mp3","44100","1","128000","-19.7","0.0","-7.5","","93","ok","false","27.3","140","none","Reference physical asset for chair-result-prefix-v21 alias review."
"marcus","you-completed","assets/audio/voice/marcus/you-completed.mp3","64188bcad8bc6bccb9da369b5d0548713488e486743157f7f5e9331269aee298","789","mp3","mp3","44100","1","128000","-15.6","0.0","-2.0","","71","ok","false","18.7","-140","loudness_outlier","Reference physical asset for chair-result-prefix-v21 alias review."
"clara","tug-intro","assets/audio/voice/clara/tug-intro.mp3","2d3ae0c504838a64b060c423d4ffaa8e0c3e924ec19921fdcf0af44b64ff428a","6920","mp3","mp3","44100","1","128000","-22.1","2.1","-3.8","","240","ok","false","86.7","186","none","Conditional legacy overlap asset; current MPV2 default path should not emit it."
"marcus","tug-intro","assets/audio/voice/marcus/tug-intro.mp3","8b515f69ff8d0fe17a68cf27a70c43ad61811ea55077e35f6807533df1834312","6734","mp3","mp3","44100","1","128000","-18.6","4.6","-1.0","","259","ok","false","88","-186","none","Conditional legacy overlap asset; current MPV2 default path should not emit it."
"clara","tug-setup","assets/audio/voice/clara/tug-setup.mp3","9704cd3591b863caa04218ff40ed077ea863e40f2af42075f607754c5d9acde8","9613","mp3","mp3","44100","1","128000","-23.4","2.8","-5.8","","288","ok","false","99.3","1765","pair_duration_delta_large;duration_outlier_long","Conditional legacy overlap asset; current MPV2 default path should not emit it."
"marcus","tug-setup","assets/audio/voice/marcus/tug-setup.mp3","09b2e105254e0ea3642f8a3a96fd688fbe13edabc7e0dcfc974ac0815dce8bd0","7848","mp3","mp3","44100","1","128000","-18.3","2.6","-1.8","","247","ok","false","94","-1765","pair_duration_delta_large","Conditional legacy overlap asset; current MPV2 default path should not emit it."
